,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,3000,"(2, 2)",True,l1,841.4078095753988,10.784106931456604,-1.778818630598237,0.0035766089266885343,3,0.299396681749623,3,0.06620193282390152,3,0.7452921810093597,7
1,,"(1, 2)",False,l1,983.1043717861176,88.52820899226275,-1.824514172140386,0.0031242410309991987,10,0.2824283559577677,4,0.04893982432038287,4,0.7013534066481637,10
2,9000,"(1, 1)",True,l1,977.1430342992147,27.62818720185451,-1.7985721956395917,0.003383038230809199,6,0.2824283559577677,4,0.04893982432038287,4,0.7942857278518445,3
3,3000,"(1, 2)",False,l1,987.0060846010844,9.622497524431886,-1.8077668078917295,0.0035845151331697343,8,0.2824283559577677,4,0.04893982432038287,4,0.7163278956934809,9
4,5000,"(1, 1)",True,l1,1016.7558811505636,8.411149432034293,-1.7934456083718278,0.0032560410326363874,4,0.2824283559577677,4,0.04893982432038287,4,0.7827984535704284,4
5,6000,"(1, 2)",True,l1,935.1167860031128,85.03171582898555,-1.8010248916878406,0.003227729854576393,7,0.2824283559577677,4,0.04893982432038287,4,0.780669955104721,5
6,8000,"(1, 1)",False,l1,813.7165094216665,4.87806344245204,-1.810712558278477,0.0037794171643975353,9,0.2824283559577677,4,0.04893982432038287,4,0.7251647874991374,8
7,1000,"(2, 2)",True,l2,842.2794793446859,6.601351900888077,-1.3042597064158095,0.010437391009132118,1,0.5354449472096531,2,0.32806758878018805,1,0.830213045204783,1
8,5000,"(1, 1)",True,l2,810.3787664572397,6.940436020236872,-1.4601519391459823,0.040744037155625565,2,0.5388386123680241,1,0.29769039289361604,2,0.801549225570349,2
9,6000,"(2, 2)",True,l1,751.4027726650238,71.72772732045455,-1.797093851026908,0.0032842686603246998,5,0.2824283559577677,4,0.04893982432038287,4,0.7610739276228794,6
