,param_tfidf__max_features,param_tfidf__use_idf,param_tfidf__ngram_range,param_tfidf__norm,param_clf__kernel,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,3000,False,"(2, 2)",l1,linear,987.2352689901987,6.365964427403299,-1.2489685556273737,0.01532559404932492,8,0.2824283559577677,9,0.04893982432038287,9,0.8512288327484311,7
1,7000,True,"(1, 1)",l2,rbf,1178.6568326155345,12.020917895285123,-1.0591838674728604,0.006115908199313638,1,0.6251885369532428,1,0.49746821995275453,1,0.8931836084502733,1
2,5000,False,"(2, 2)",l1,poly,1054.438600619634,3.314478035706301,-1.2291779405615388,0.016622778979173438,6,0.5135746606334841,6,0.37100513111915534,7,0.8306392189401496,9
3,5000,True,"(2, 2)",l2,rbf,1036.3652525742848,11.086396526281339,-1.0594700504123005,0.009264056280597274,2,0.6240573152337858,2,0.492285119506006,3,0.89200523556402,2
4,6000,True,"(2, 2)",l1,poly,1089.9769206047058,8.993103833824305,-1.2502151900498824,0.0207973741365214,9,0.497737556561086,7,0.3732834218180357,6,0.8360774370531036,8
5,7000,False,"(1, 1)",l1,linear,1144.9602540334065,6.553424910426335,-1.242979867604393,0.012335393503294021,7,0.2824283559577677,9,0.04893982432038287,9,0.8516148099055528,6
6,9000,True,"(1, 2)",l2,poly,1429.2774590651195,9.088497704885816,-1.0780763578251902,0.00406961764484278,3,0.6157616892911011,3,0.49310646706261624,2,0.8905685410724514,3
7,5000,False,"(1, 1)",l2,linear,1033.6927309830983,10.363155651336205,-1.0863698256268206,0.022726593043820395,4,0.6127450980392157,4,0.46705228630358214,4,0.8803565601824648,4
8,7000,True,"(1, 1)",l2,sigmoid,1079.9098351796467,9.78259960544436,-1.1097736847426882,0.007585897812103325,5,0.6021870286576169,5,0.44878021335450985,5,0.8790363172220858,5
9,,False,"(2, 2)",l1,poly,2333.1759231885276,67.70620747073642,-1.2508640981745602,0.01802991234813786,10,0.49585218702865763,8,0.33544369449307637,8,0.8290499781365087,10
