,param_tfidfvectorizer__max_features,param_tfidfvectorizer__ngram_range,param_tfidfvectorizer__use_idf,param_tfidfvectorizer__norm,param_kneighborsclassifier__n_neighbors,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,1000,"(2, 2)",True,l1,31,899.2614067395529,10.545362725927397,-3.8460746214844588,0.09418917782875481,5,0.36651583710407243,6,0.32775390865751697,8,0.8154563689183209,7
1,2000,"(1, 1)",False,l1,17,915.4497737089793,11.87609427418315,-4.302058670679997,0.6190345530524909,7,0.43552036199095023,3,0.4053274730810424,3,0.8364226216076652,1
2,1000,"(1, 1)",False,l2,25,903.844812631607,7.1904911941622816,-4.076915823602376,0.5180151651433423,6,0.39177978883861236,4,0.3594172328187957,4,0.8336472193307459,2
3,5000,"(1, 1)",False,l2,33,925.4297470251719,5.687038467080743,-3.8261299578227757,0.4873264343799627,4,0.3533182503770738,7,0.33165777975264327,7,0.8297702695208331,3
4,7000,"(2, 2)",True,l2,57,927.1634439627329,6.515622893054515,-3.717019292164936,0.3600324953618423,3,0.2971342383107089,9,0.29289308141683645,10,0.8149306896800551,8
5,7000,"(2, 2)",True,l2,23,925.7026832103729,6.266124418392896,-5.177914065522786,0.10109409443246165,8,0.3717948717948718,5,0.3508207571699717,5,0.8185276420155964,5
6,4000,"(1, 2)",True,l2,1,979.86647717158,11.135371636793282,-15.042340398235993,0.40728916367903345,10,0.5644796380090498,1,0.48924587956148563,1,0.7271736583789119,10
7,4000,"(1, 1)",True,l1,59,926.3788753350576,6.178382588500485,-2.612731857222195,0.3018001155565291,1,0.32805429864253394,8,0.3344507578041986,6,0.8168800428617202,6
8,5000,"(1, 2)",False,l2,59,972.8622115453085,7.849921086464368,-3.072612239643515,0.5152093794301511,2,0.2907239819004525,10,0.2966385562687918,9,0.8258978639477265,4
9,4000,"(1, 2)",False,l1,5,797.2103605270386,124.04354059070715,-8.064080567125925,0.6730182612180285,9,0.5267722473604827,2,0.4766359132955961,2,0.8081033576649954,9
