,param_tfidfvectorizer__max_features,param_tfidfvectorizer__ngram_range,param_tfidfvectorizer__use_idf,param_tfidfvectorizer__norm,param_randomforestclassifier__criterion,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,8000,"(1, 2)",False,l1,giny,983.6832694212595,8.90898106636634,,,6,,6,,6,,6
1,2000,"(1, 1)",False,l2,entropy,1024.090189377467,6.346614431058955,-1.8669465864146924,0.1453969642982393,3,0.6146304675716441,4,0.5372128383455195,3,0.8592946610849334,3
2,9000,"(1, 1)",False,l1,giny,923.7206502755483,5.054049415773677,,,7,,7,,7,,7
3,9000,"(1, 1)",False,l1,entropy,1099.7870593070984,13.298077343855192,-1.8562910227953546,0.057779373109997145,2,0.610105580693816,5,0.5267119187938505,5,0.8669330260938825,2
4,3000,"(2, 2)",True,l1,giny,911.4178907871246,5.602205924692843,,,8,,8,,8,,8
5,2000,"(1, 1)",True,l2,giny,918.7014102141062,17.399955053032638,,,9,,9,,9,,9
6,5000,"(1, 1)",True,l2,entropy,1061.9788507620494,12.23552502625449,-1.8139069266885224,0.10085436271340896,1,0.6202865761689291,1,0.5389710094450105,2,0.8703371024867849,1
7,4000,"(2, 2)",True,l2,giny,912.4361669222513,5.200884405440376,,,10,,10,,10,,10
8,4000,"(1, 1)",True,l1,entropy,1063.4691978295643,7.682120167015179,-1.979491997128217,0.10646954851659382,5,0.6176470588235294,3,0.5337978668400556,4,0.8540925106287736,5
9,1000,"(1, 2)",True,l2,entropy,876.8028088410696,96.94810941026219,-1.948729767931919,0.02969808488672714,4,0.6184012066365008,2,0.5428216172619864,1,0.858182186925732,4
