,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,"(1, 1)",False,l1,899.6419440110525,7.301915948437438,-1.802925429356484,0.0033990036544703493,9,0.2824283559577677,9,0.04893982432038287,9,0.7206478938258165,8
1,"(1, 2)",True,l1,918.802572965622,12.570004986333707,-1.7831539944123929,0.0034860310388700032,7,0.2956259426847662,7,0.06222674377107837,7,0.7603720231543732,7
2,"(1, 1)",True,l1,855.1973612308502,17.116549859300008,-1.7817639431999395,0.00400200748456073,6,0.28431372549019607,8,0.05110284810719896,8,0.7690474998884156,4
3,"(2, 2)",False,l2,861.3740492661794,11.60675275585006,-1.448229741683343,0.024597892625589507,4,0.4656862745098039,3,0.24996208536452955,3,0.7675838964656426,6
4,"(1, 2)",False,l1,891.2687544027964,22.67582310330438,-1.8039255219200072,0.0032242591721355785,10,0.2824283559577677,9,0.04893982432038287,9,0.7141407909215753,9
5,"(1, 1)",True,l2,832.6697700023651,7.315610298646722,-1.3522765154988956,0.018803289003109857,1,0.49698340874811464,1,0.27933986687681744,1,0.8208645993084849,2
6,"(2, 2)",True,l1,875.2106876373291,14.031733975217609,-1.7775982974474183,0.006465557982807044,5,0.30580693815987936,5,0.07240472045284867,5,0.7687517235687386,5
7,"(2, 2)",False,l1,862.6801499525706,5.798363467541636,-1.785592583009932,0.003801504383219917,8,0.2997737556561086,6,0.0665896439897735,6,0.7082925340202767,10
8,"(1, 2)",True,l2,867.4968009789785,5.077652634926565,-1.360769268200837,0.01825595179182133,2,0.4864253393665159,2,0.2732538713372897,2,0.8230426550416335,1
9,"(2, 2)",True,l2,712.0816855430603,95.54526433761355,-1.4405471413490247,0.023771602755351468,3,0.4604072398190045,4,0.24935229942563145,4,0.8007483263382168,3
