,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,param_clf__criterion,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,"(1, 2)",True,l1,entropy,864.0093136628469,6.412849903744336,-1.7915398376495837,0.09104096503331818,3,0.6323529411764706,2,0.5094792116017414,1,0.8680329149396223,2
1,"(1, 1)",False,l1,giny,825.540492216746,6.71930019806554,,,5,,5,,5,,5
2,"(1, 1)",True,l2,giny,824.2949817180634,4.669244182946501,,,6,,6,,6,,6
3,"(1, 2)",False,l1,entropy,875.4395459493002,7.584558784674909,-1.7338583430820773,0.07947554810642699,2,0.6304675716440422,3,0.500352959930789,3,0.8710407538091748,1
4,"(1, 1)",True,l1,giny,835.6531093120575,8.759282592846905,,,7,,7,,7,,7
5,"(2, 2)",False,l1,entropy,871.8577833970388,6.314054457010972,-1.994690348320279,0.06470849618030364,4,0.6255656108597285,4,0.4974134978856497,4,0.8619496113258176,3
6,"(2, 2)",False,l1,giny,865.1756527423859,8.147946416834468,,,8,,8,,8,,8
7,"(1, 2)",True,l1,giny,879.0279604593912,7.768644746093434,,,9,,9,,9,,9
8,"(1, 1)",False,l2,entropy,846.3423581123352,6.367994645672724,-1.7163566882811316,0.10945476529126902,1,0.6368778280542986,1,0.5091882368964807,2,0.8600148662913192,4
9,"(1, 2)",False,l1,giny,682.0692423979441,130.92549212545126,,,10,,10,,10,,10
