,param_columntransformer__tfidf_evidence__max_features,param_columntransformer__tfidf_evidence__ngram_range,param_columntransformer__tfidf_evidence__use_idf,param_columntransformer__tfidf_evidence__norm,param_randomforestclassifier__criterion,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,4000,"(1, 2)",True,l2,entropy,916.8005007108053,5.654870618763662,-1.7238293889338652,0.19287055670453865,2,0.6376319758672699,3,0.5068090578566491,2,0.8767638852342597,1
1,6000,"(2, 2)",False,l2,entropy,897.0499929587046,6.941904472261146,-1.7842569146281229,0.10114948409582569,4,0.6429110105580693,2,0.5203651797956415,1,0.865104321810735,2
2,5000,"(1, 1)",True,l1,entropy,871.2155604362488,8.144629594573637,-1.68846319707702,0.07581115001038764,1,0.6436651583710407,1,0.5057997951438754,3,0.8603548714079287,3
3,,"(1, 1)",True,l1,entropy,1152.113806327184,17.604980066362526,-1.7697583335983982,0.13669158731884776,3,0.6331070889894419,4,0.4936446036303824,4,0.859301749873377,4
4,2000,"(1, 1)",True,l2,giny,829.9851518472036,8.416719568323872,,,5,,5,,5,,5
5,1000,"(2, 2)",False,l2,giny,848.4690199693044,5.040066556412396,,,6,,6,,6,,6
6,8000,"(1, 1)",False,l1,giny,827.3632737000784,7.966856920800607,,,7,,7,,7,,7
7,2000,"(1, 2)",False,l1,giny,871.6480532487234,5.92666599725777,,,8,,8,,8,,8
8,7000,"(2, 2)",True,l2,giny,859.0216357707977,7.075591357877389,,,9,,9,,9,,9
9,6000,"(2, 2)",False,l1,giny,706.9731705188751,120.59644967609438,,,10,,10,,10,,10
